med,med_class,super_class,pharm class,theraputic class,route
cranberry extract,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
cranberry-vitamin c-inulin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
cranberry-vitamin c-vitamin e,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
cvs melatonin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
d-mannose,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
dha-vitamin c-lutein,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
elderberry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
eye health formula,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
fish oil + d3,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
fish oil-cholecalciferol,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flax seed oil,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flax seeds,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flax seedswd,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flaxseed,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flaxseed (linseed),alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flaxseed oil,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
flaxseed oil max str,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
garlic,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
ginger (zingiber officinalis),alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
ginger extract,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
ginkgo biloba,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
ginkoba,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine chondr,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine chondr complex,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine hcl,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine sulfate,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine-chondroit-vit c-mn,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine-chondroitin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine-chondroitin-vit d3,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
glucosamine-msm-hyaluronic acd,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
horse chestnut,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
hyaluronic acid,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
hyaluronic acid-vitamin c,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
joint health,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
krill oil,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
krill oil omega-3,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
lutein,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
lutein-zeaxanthin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
megared omega-3,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
milk thistle,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
oil of oregano,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
olive leaf,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
omega 3-5-6-7-9 fatty acids,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
omega 3-6-9 fatty acids,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
oregano,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
osteo bi-flex one per day,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
qunol ultra coq10,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
ra acai berry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
red yeast rice,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
red yeast rice extract,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
resveratrol,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
saw palmetto,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
saw palmetto (serenoa repens),alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
saw palmetto berry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
spirulina,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
th flax seed oil,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
thc free,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
triple omega-3-6-9,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
turmeric,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
turmeric complex/black pepper,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
turmeric curcumin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
uti-stat,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
uti-stat liqd,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
valerian,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
valerian root,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
co enzyme q-10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
co q,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
co q-10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
co-enzyme q-10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
co-q,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
coenzyme q-10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
coenzyme q10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
coenzyme q10-fish oil-vit e,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
coenzyme q10-vitamin e,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
coq10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
mega coq10,co q 10,vitamin/ supplemet,alternative medicines,miscellaneous products,
melatonin,melatonin,hypnotic,alternative medicines,miscellaneous products,
melatonin er,melatonin,hypnotic,alternative medicines,miscellaneous products,
melatonin gummies,melatonin,hypnotic,alternative medicines,miscellaneous products,
melatonin maximum strength,melatonin,hypnotic,alternative medicines,miscellaneous products,
melatonin-pyridoxine,melatonin,hypnotic,alternative medicines,miscellaneous products,
neomycin sulfate,topical,topical,aminoglycosides,anti-infective agents,
methotrexate,antimetabolite,antineoplastic/ immunomodulator,analgesics - anti-inflammatory,analgesics & anesthetics,
methotrexate (anti-rheumatic),antimetabolite,antineoplastic/ immunomodulator,analgesics - anti-inflammatory,analgesics & anesthetics,
rasuvo,antimetabolite,antineoplastic/ immunomodulator,analgesics - anti-inflammatory,analgesics & anesthetics,
celebrex,cox-2 inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
celecoxib,cox2 inhibitor,cox2 inhibitor,analgesics - anti-inflammatory,analgesics & anesthetics,
abatacept,dmard,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
apremilast,dmard,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
arava,dmard,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
leflunomide,dmard,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
otezla,dmard,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
auranofin,gold salt,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
actemra,il-6r inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
kevzara sc,il-6r inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
sarilumab,il-6r inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
tocilizumab,il-6r inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
rinvoq,jak inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
tofacitinib citrate,jak inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
upadacitinib,jak inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
xeljanz,jak inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
aleve,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
diclofenac,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
diclofenac potassium,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
diclofenac-misoprostol,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
diclofenactassium,nsaid,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
etodolac,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
etodolac er,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
ibuprofen,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
indomethacin,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
ketoprofen,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
meloxicam,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
motrin,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
nabumetone,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
naprosyn,nsaid,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
naproxen,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
naproxen sodium,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
piroxicam,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
sulindac,nsaid,analgesic/nsaid,analgesics - anti-inflammatory,analgesics & anesthetics,
adalimumab,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
enbrel mini,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
etanercept,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
golimumab,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
humira pen,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
humira sc,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
simponi,tnf inhibitor,immunosuppresant,analgesics - anti-inflammatory,analgesics & anesthetics,
acetamin,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
acetaminophen,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
acetaminophen er,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
acetaminophen extra strength,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
acetaminophen-caffeine,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
hm arthritis pain relief,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
mapap arthritis pain,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
tylenol,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
tylenol arthritis pain,acetaminophen,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin adult low strength,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin buf(cacarb-mgcarb-mgo),asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin ec,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin ec low dose,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin effervescent,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin low dose,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin low strength,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin-calcium carbonate,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
bayer aspirin,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
bufferin low dose,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
cvs aspirin adult low dose,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
cvs aspirin child,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
cvs aspirin ec,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
eq aspirin adult low dose,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
sm aspirin,asa,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin-acetaminophen-caffeine,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
aspirin-caffeine,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
butalbital-acetaminophen,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
butalbital-apap-caffeine,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
butalbital-aspirin-caffeine,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
excedrin,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
excedrin migraine,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
excedrin tension headache,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
fioricet,headache-combo-med,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
diflunisal,nsaid,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
magnesium salicylate,nsaid,analgesic/nsaid,analgesics-nonnarcotic,analgesics & anesthetics,
tapentadol hcl,mu-opioid-agonist,mu-opioid-agonist,analgesics-opioid,analgesics & anesthetics,
tramadol hcl,mu-opioid-agonist,mu-opioid-agonist,analgesics-opioid,analgesics & anesthetics,
acetaminophen-codeine,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
acetaminophen-codeine #3,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
belbuca,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
belbuca bu,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
buprenorphine,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
buprenorphine hcl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
buprenorphine hcl-naloxone hcl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
butalbital-apap-caff-cod,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
butalbital-asa-caff-codeine,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
butorphanol tartrate,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
codeine sulfate,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
fentanyl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
hydrocodone-acetaminophen,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
hydromorphone hcl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
methadone hcl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
morphine sulfate,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
morphine sulfate er,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycodone,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycodone er,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycodone hcl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycodone hcl er,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycodone-acetaminophen,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
oxycontin,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
roxicodone,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
sublocade,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
suboxone,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
suboxone sl,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
tramadol hcl er,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
tramadol-acetaminophen,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
xtampza er,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
zubsolv,opioid,opioid,analgesics-opioid,analgesics & anesthetics,
androgel,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
androgel pump,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
testopel,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
testosterone,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
testosterone cypionate,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
testosterone enanthate,androgen-anabolic,androgen-anabolic,androgen-anabolic,endocrine & metabolic drugs,
hydrocortisone,anorectal,anorectal,anorectal,topical products,
hydrocortisone ace-pramoxine,anorectal,anorectal,anorectal,topical products,
hydrocortisone acetate,anorectal,anorectal,anorectal,topical products,
lidocaine-glycerin,anorectal,anorectal,anorectal,topical products,
lidocaine-hydrocortisone ace,anorectal,anorectal,anorectal,topical products,
pe-shark liver oil-cocoa buttr,anorectal,anorectal,anorectal,topical products,
phenyleph-shark liv oil-mo-pet,anorectal,anorectal,anorectal,topical products,
phenylephrine in hard fat,anorectal,anorectal,anorectal,topical products,
pramox-pe-glycerin-petrolatum,anorectal,anorectal,anorectal,topical products,
preparation h ex,anorectal,anorectal,anorectal,topical products,
alum & mag hydroxide-simeth,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
alum hydroxide-mag carbonate,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
aluminum & magnesium hydroxide,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
aluminum-magnesium-simethicone,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
antacid,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
antacid liquid,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
ca carbonate-mag hydroxide,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
calcium carbonate antacid,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
cvs antacid,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
gaviscon,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
gaviscon extra strength,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
geri-lanta,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
maalox advanced max st,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
maalox regular strength,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
rolaids,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
sodium bicarbonate,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
tums,antacids,gerd / ulcer med,antacids,gastrointestinal agents,
ivermectin,anthelmintic,anthelmintic,anthelmintic,anti-infective agents,
orlistat,lipase inhibitor,anti-obesity,anti-obesity,gi,
zyprexa,anti-psychotic,anti-psychotic,anti-psychotic,,no
ranexa,antianginal,antianginal,antianginal agents,cardiovascular agents,
ranolazine,antianginal,antianginal,antianginal agents,cardiovascular agents,
ranolazine er,antianginal,antianginal,antianginal agents,cardiovascular agents,
imdur,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
isosorbide dinitrate,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
isosorbide mononitrate,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
isosorbide mononitrate er,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
nitroglycerin,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
nitroglycerin sl,nitroglycerin,antianginal,antianginal agents,cardiovascular agents,
atarax,antihisamine,anxiolytic,antianxiety agents,central nervous system drugs,
hydroxyzine hcl,antihisamine,anxiolytic,antianxiety agents,central nervous system drugs,
hydroxyzine pamoate,antihisamine,anxiolytic,antianxiety agents,central nervous system drugs,
alprazolam,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
ativan,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
chlordiazepoxide hcl,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
clorazepate dipotassium,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
diazepam,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
lorazepam,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
oxazepam,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
valium,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
xanax,benzodiazepine,anxiolytic,antianxiety agents,central nervous system drugs,
buspar,buspirone ,anxiolytic,antianxiety agents,central nervous system drugs,
buspirone hcl,buspirone ,anxiolytic,antianxiety agents,central nervous system drugs,
amiodarone hcl,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
dofetilide,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
dronedarone hcl,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
flecainide acetate,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
mexiletine hcl,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
propafenone hcl,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
propafenone hcl er,antiarrhythmic,antiarrhythmic,antiarrhythmic,cardiovascular agents,
omalizumab,anti ige,antiinflamatory,antiasthmatic and bronchodilator agents,respiratory agents,
aclidinium bromide,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
atrovent hfa,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
incruse ellipta,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
ipratropium bromide,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
ipratropium bromide hfa,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
spiriva handihaler,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
spiriva handihaler in,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
