Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Sudan,Eastern Mediterranean,46518,106.086,481,1.097,226,3331,7.596,33,0.075,33
French Polynesia,Western Pacific,46382,16511.456,7,2.492,0,636,226.409,0,0,0
Mauritania,Africa,40737,876.129,555,11.936,123,862,18.539,5,0.108,0
Gabon,Africa,39910,1793.116,2080,93.452,0,288,12.94,2,0.09,0
Cabo Verde,Africa,39345,7076.604,727,130.758,172,352,63.311,0,0,0
Guyana,Americas,39119,4973.479,228,28.987,12,1050,133.494,17,2.161,2
Papua New Guinea,Western Pacific,36137,403.9,112,1.252,7,590,6.594,1,0.011,0
Belize,Americas,31503,7922.732,209,52.562,0,592,148.883,1,0.251,0
Guinea,Africa,31238,237.863,424,3.229,118,389,2.962,1,0.008,0
United Republic of Tanzania,Africa,29306,49.061,2823,4.726,2823,737,1.234,3,0.005,3
Togo,Africa,28925,349.39,2014,24.327,421,246,2.971,0,0,0
Lesotho,Africa,28195,1316.14,2191,102.276,69,665,31.042,0,0,0
Barbados,Americas,27724,9647.325,482,167.725,51,260,90.474,4,1.392,0
Burundi,Africa,27366,230.145,4357,36.642,367,14,0.118,0,0,0
Haiti,Americas,25974,227.792,29,0.254,0,766,6.718,1,0.009,0
Iceland,Europe,25314,6951.836,3766,1034.235,238,37,10.161,0,0,0
Benin,Africa,24935,205.68,0,0,0,161,1.328,0,0,0
Seychelles,Africa,24546,24958.565,349,354.866,95,126,128.118,0,0,0
Bahamas,Americas,23539,5985.851,378,96.124,0,713,181.312,0,0,0
Somalia,Eastern Mediterranean,23532,148.063,363,2.284,0,1333,8.387,0,0,0
Andorra,Europe,22540,29172.329,1478,1912.897,208,140,181.195,3,3.883,1
Mayotte,Africa,21911,8031.45,668,244.855,405,185,67.812,0,0,0
Mali,Africa,20288,100.184,817,4.034,167,658,3.249,11,0.054,0
Congo,Africa,20089,364.057,599,10.855,0,367,6.651,0,0,0
Timor-Leste,South-East Asia,19833,1504.272,0,0,0,122,9.253,0,0,0
Curaçao,Americas,19247,11729.324,1440,877.551,198,186,113.35,2,1.219,0
Aruba,Americas,17896,16761.89,1048,981.586,248,181,169.53,1,0.937,0
Burkina Faso,Africa,17632,84.35,592,2.832,592,318,1.521,1,0.005,1
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
Jersey,Europe,17211,15966.27,577,535.27,0,89,82.563,1,0.928,0
Brunei Darussalam,Western Pacific,15461,3534.112,43,9.829,3,57,13.029,0,0,0
Guam,Western Pacific,15301,9065.916,50,29.625,21,270,159.976,0,0,0
South Sudan,Africa,15152,135.362,1321,11.801,292,135,1.206,2,0.018,0
Equatorial Guinea,Africa,13637,971.999,19,1.354,7,175,12.473,0,0,0
New Zealand,Western Pacific,13616,282.359,398,8.253,54,50,1.037,1,0.021,0
Djibouti,Eastern Mediterranean,13593,1375.81,47,4.757,0,189,19.13,0,0,0
Nicaragua,Americas,13563,204.738,32,0.483,32,217,3.276,1,0.015,1
Isle of Man,Europe,13487,15861.088,225,264.606,36,67,78.794,0,0,0
Saint Lucia,Americas,13357,7273.985,180,98.025,38,295,160.652,0,0,0
New Caledonia,Western Pacific,12826,4492.501,156,54.641,109,281,98.425,1,0.35,1
Central African Republic,Africa,12163,251.834,202,4.182,0,101,2.091,0,0,0
Gambia,Africa,10136,419.42,58,2.4,0,342,14.152,0,0,0
Yemen,Eastern Mediterranean,10123,33.94,20,0.067,5,1984,6.652,7,0.023,0
United States Virgin Islands,Americas,8477,8117.788,796,762.27,264,88,84.271,0,0,0
Cayman Islands,Americas,8386,12760.195,289,439.744,0,11,16.738,2,3.043,0
Gibraltar,Europe,8271,24549.583,369,1095.248,67,100,296.815,0,0,0
Eritrea,Africa,7931,223.634,124,3.496,29,73,2.058,3,0.085,0
San Marino,Europe,7808,23006.659,449,1323.001,151,99,291.708,2,5.893,1
Niger,Africa,7307,30.186,93,0.384,18,274,1.132,2,0.008,0
Sierra Leone,Africa,6819,85.483,294,3.686,160,123,1.542,2,0.025,0
Dominica,Americas,6559,9110.861,39,54.173,0,45,62.508,1,1.389,0
Guinea-Bissau,Africa,6474,328.963,16,0.813,8,149,7.571,0,0,0
Guernsey,Europe,6416,9952.224,470,729.044,0,23,35.677,0,0,0
Liberia,Africa,6278,124.128,349,6.9,50,287,5.675,0,0,0
Liechtenstein,Europe,6131,15823.161,209,539.397,0,67,172.917,0,0,0
Bermuda,Americas,6064,9737.768,147,236.057,0,106,170.218,0,0,0
Comoros,Africa,6043,694.916,1366,157.084,176,154,17.709,2,0.23,0
Grenada,Americas,5968,5303.805,47,41.769,7,200,177.741,0,0,0
Saint Vincent and the Grenadines,Americas,5843,5266.811,59,53.182,3,81,73.012,2,1.803,0
Chad,Africa,5703,34.72,0,0,0,181,1.102,0,0,0
Faroe Islands,Europe,5261,10766.397,369,755.142,0,13,26.604,0,0,0
Monaco,Europe,4889,12457.955,404,1029.457,80,38,96.83,1,2.548,0
Sint Maarten,Americas,4838,11282.123,142,331.141,64,75,174.899,0,0,0
Antigua and Barbuda,Americas,4259,4349.069,58,59.227,0,118,120.495,1,1.021,0
Saint Martin,Americas,4118,10652.112,43,111.229,0,39,100.882,1,2.587,0
Sao Tome and Principe,Africa,3790,1729.338,54,24.64,31,57,26.009,0,0,0
Turks and Caicos Islands,Americas,3283,8479.26,111,286.688,7,26,67.152,1,2.583,0
Bonaire,Americas,3246,15519.962,75,358.594,11,23,109.969,1,4.781,0
British Virgin Islands,Americas,3071,10156.431,185,611.833,0,39,128.981,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,2963,5147.94,383,665.427,0,12,20.849,4,6.95,0
Saint Kitts and Nevis,Americas,2858,5372.988,50,93.999,10,28,52.639,0,0,0
Bhutan,South-East Asia,2660,344.735,1,0.13,0,3,0.389,0,0,0
Greenland,Europe,2437,4292.609,273,480.871,74,1,1.761,1,1.761,0
Saint Barthélemy,Americas,1726,17460.799,34,343.955,0,4,40.465,0,0,0
Anguilla,Americas,1674,11158.512,45,299.96,28,5,33.329,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,98,1691.113,2,34.513,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,81,2325.581,0,0,0,0,0,0,0,0
Montserrat,Americas,45,900.18,0,0,0,1,20.004,0,0,0
Sint Eustatius,Americas,31,987.576,0,0,0,0,0,0,0,0
Saba,Americas,30,1551.992,16,827.729,7,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,24,3.494,4,0.582,2,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,0,0,0,0,0,0,0,0
Palau,Western Pacific,10,55.273,2,11.055,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
